id,price,year,manufacturer,condition,fuel,odometer
1,22568,2014,ram,excellent,gas,133275
2,4380,2006,jeep,excellent,gas,160252
3,7800,2012,chevrolet,excellent,gas,130000
4,38990,2020,tesla,good,electric,9665
5,32590,2015,mercedes-benz,good,gas,34811
6,3906,2011,ford,excellent,gas,230739
7,9360,2011,nissan,excellent,gas,125475
8,18990,2020,chevrolet,good,gas,6395
9,30590,2020,ford,good,gas,10740
10,21995,2016,toyota,excellent,hybrid,44438
11,66524,2019,ford,excellent,gas,41468
12,11667,2016,gmc,excellent,gas,104056
13,37990,2019,jeep,good,gas,21020
14,39590,2019,chevrolet,good,gas,21014
15,8725,2015,chrysler,excellent,diesel,127000
16,11995,2013,volkswagen,excellent,diesel,74944
17,9900,2005,toyota,excellent,gas,96000
18,25000,2016,chevrolet,excellent,gas,108100
19,25814,2017,ram,excellent,gas,76263
20,18659,2016,jeep,excellent,gas,72657
21,3450,2003,nissan,excellent,gas,173612
22,14200,2015,chevrolet,excellent,gas,91000
23,12000,2017,volkswagen,excellent,gas,53000
24,7000,2002,chevrolet,excellent,gas,127000
25,6000,2011,dodge,excellent,gas,161000
26,4450,2006,subaru,excellent,gas,159000
27,6800,2009,chevrolet,excellent,gas,85000
28,22500,2017,chevrolet,good,gas,40775
29,28990,2018,jeep,good,gas,23386
30,8748,2007,ram,excellent,gas,143031
31,9981,2015,dodge,excellent,gas,71435
32,25000,2015,ford,like new,gas,170000
33,4000,2012,fiat,excellent,gas,133500
34,8100,2013,chevrolet,excellent,gas,67600
35,8000,2008,buick,new,gas,75000
36,34990,2018,jeep,good,gas,37509
37,4891,2007,cadillac,excellent,gas,184192
38,15990,2017,ford,good,hybrid,48195
39,14995,2014,chevrolet,excellent,gas,61138
40,4533,2007,chevrolet,excellent,diesel,129746
41,9995,2011,buick,excellent,gas,124283
42,32990,2019,ford,good,gas,35899
43,4995,2005,gmc,excellent,gas,196522
44,17900,2017,ford,excellent,electric,15500
45,3751,2003,chevrolet,excellent,gas,183704
46,17995,2012,chevrolet,excellent,gas,133890
47,13444,2015,chevrolet,excellent,gas,124588
48,30590,2015,bmw,good,gas,30160
49,30590,2019,mini,good,gas,21246
50,44900,2013,jeep,excellent,gas,38876
51,14000,2008,ford,good,gas,72750
52,8000,2013,chevrolet,good,gas,75221
53,19500,2001,chevrolet,like new,gas,93000
54,12879,2011,ford,excellent,gas,106080
55,9000,2010,cadillac,excellent,gas,94000
56,13750,2014,ford,good,gas,92609
57,2250,2004,buick,good,gas,200120
58,4913,2010,ford,excellent,gas,187470
59,8375,2013,dodge,excellent,gas,118425
60,20700,2020,chevrolet,new,gas,12727
61,14572,2018,chevrolet,excellent,gas,92221
62,22590,2015,hyundai,good,gas,20346
63,5995,2010,chevrolet,excellent,gas,186187
64,13000,2012,chevrolet,good,gas,68000
65,6938,2013,ford,excellent,gas,152967
66,37990,2016,chevrolet,good,gas,9704
67,25990,2014,gmc,good,gas,15575
68,5811,2009,volkswagen,excellent,gas,98532
69,10918,2013,ford,excellent,gas,113418
70,24900,2017,bmw,excellent,gas,42500
71,35990,2020,dodge,good,gas,6933
72,9539,2012,ford,excellent,gas,126821
73,4639,2003,audi,excellent,gas,87332
74,3500,2009,bmw,good,gas,195483
75,9995,2006,ford,good,gas,33025
76,30500,2018,ram,excellent,gas,61800
77,6200,2006,ford,good,gas,172000
78,7000,2011,ford,excellent,gas,91555
79,13995,2016,volkswagen,excellent,gas,37850
80,8950,2011,toyota,excellent,gas,76000
81,11439,2007,gmc,excellent,gas,180000
82,9800,2011,mazda,excellent,gas,96000
83,14500,2016,jeep,excellent,gas,48200
84,43941,2020,chevrolet,like new,gas,16108
85,6750,1992,chrysler,like new,gas,42000
86,3995,2009,mercury,excellent,gas,125427
87,39620,2018,gmc,excellent,gas,105546
88,34990,2010,chevrolet,good,gas,19502
89,13500,2013,ford,like new,gas,35640
90,21396,2019,gmc,excellent,gas,21679
91,14223,2017,chevrolet,excellent,gas,16753
92,24990,2013,bmw,good,gas,27287
93,20753,2017,ford,excellent,gas,77452
94,6500,2012,chevrolet,excellent,gas,78000
95,14693,2011,ford,excellent,gas,182799
96,2800,2008,subaru,fair,gas,200500
97,16000,2017,ford,excellent,gas,52500
98,4372,2006,gmc,excellent,gas,175857
99,8387,2015,ford,excellent,gas,73513
100,5900,2013,ford,excellent,gas,117000
101,26990,2019,volkswagen,good,gas,13663
102,27590,2020,volkswagen,good,gas,1309
103,27990,2018,nissan,good,gas,37332
104,2250,2006,lincoln,good,gas,202997
105,4900,2010,ford,fair,gas,138000
106,13000,2016,ford,like new,gas,99000
107,16000,2016,lincoln,like new,gas,60000
108,4500,2006,jeep,good,gas,207670
109,14971,1988,toyota,excellent,gas,209940
110,4400,2006,honda,excellent,gas,190000
111,5500,2007,honda,excellent,gas,147000
112,3000,2005,pontiac,good,gas,230000
113,11981,2010,mazda,excellent,gas,89686
114,8723,2015,nissan,excellent,gas,70340
115,21971,2018,dodge,excellent,gas,50595
116,13320,2014,toyota,excellent,gas,63449
117,31590,2020,mazda,good,gas,2195
118,17945,2020,ford,excellent,gas,2366
119,13995,2010,chevrolet,excellent,gas,43600
120,8400,2012,mercedes-benz,good,gas,110000
121,26590,2013,infiniti,good,gas,38468
122,6943,2014,ford,excellent,gas,80555
123,29990,2018,volvo,good,gas,13859
124,15736,2013,lexus,excellent,gas,86516
125,6568,2004,ram,excellent,gas,237583
126,34590,2016,chevrolet,good,gas,29499
127,6500,1999,jeep,good,gas,164000
128,9663,2013,hyundai,excellent,gas,118051
129,27981,2015,gmc,excellent,gas,105571
130,5600,2009,chevrolet,like new,gas,122000
131,11500,2015,chevrolet,excellent,gas,126146
132,15962,2020,toyota,excellent,gas,22650
133,39500,2015,chevrolet,like new,gas,75000
134,46501,2019,gmc,excellent,gas,9707
135,32990,2019,ford,good,gas,22769
136,26990,2017,cadillac,good,gas,41147
137,31590,2018,toyota,good,gas,62496
138,16590,2015,volkswagen,good,gas,39649
139,9000,2004,chevrolet,excellent,gas,115000
140,8000,2004,toyota,excellent,gas,225000
141,4325,2006,honda,excellent,gas,180000
142,9640,2016,hyundai,excellent,gas,71072
143,16500,2013,ford,excellent,gas,89000
144,2900,2004,bmw,fair,gas,164000
145,3850,1976,mercedes-benz,good,gas,149000
146,13424,2013,nissan,excellent,gas,96334
147,4200,2009,pontiac,good,gas,148737
148,9523,2009,ford,excellent,gas,230869
149,6981,2005,lincoln,excellent,gas,64106
150,15600,2016,nissan,excellent,gas,61000
151,7317,2006,ford,excellent,gas,160845
152,5600,2006,honda,excellent,gas,116000
153,4285,2011,nissan,excellent,gas,181892
154,9995,2008,mercedes-benz,excellent,diesel,161013
155,3590,2002,toyota,excellent,gas,183417
156,11500,2013,chevrolet,excellent,gas,86700
157,3500,1984,gmc,good,gas,128000
158,16000,1999,jeep,excellent,gas,100573
159,18500,2017,buick,excellent,gas,53000
160,7800,2009,bmw,good,gas,130000
161,17317,2018,chevrolet,excellent,gas,38972
162,5800,2010,jeep,excellent,gas,151000
163,9953,2013,mazda,excellent,gas,101043
164,4300,2011,hyundai,good,gas,228000
165,15491,2014,volvo,excellent,gas,118288
166,18900,2011,ford,excellent,gas,100400
167,5900,2008,audi,excellent,gas,142000
168,8550,2005,ram,excellent,gas,180000
169,20995,2018,gmc,excellent,gas,32715
170,7280,2009,ford,excellent,gas,204630
171,18969,2013,ford,excellent,gas,99805
172,9000,2011,chevrolet,excellent,gas,63000
173,29990,2018,chevrolet,good,gas,11401
174,23990,2015,lexus,good,gas,53388
175,26990,2016,ford,good,gas,14230
176,18590,2017,mazda,good,gas,34723
177,8800,2008,nissan,excellent,gas,145000
178,17990,2018,chevrolet,good,gas,41076
179,21995,2018,volkswagen,excellent,gas,37434
180,15400,2016,chevrolet,salvage,gas,125000
181,16500,2015,mazda,excellent,gas,65000
182,2933,2007,ford,excellent,gas,182671
183,3200,2009,ford,good,gas,200200
184,20340,2017,dodge,excellent,gas,64182
185,8541,2016,volkswagen,excellent,gas,83683
186,4533,2008,jeep,excellent,gas,147498
187,36990,2016,gmc,good,gas,23190
188,32990,2013,tesla,good,electric,62588
189,4500,2001,toyota,excellent,gas,150000
190,13500,2013,bmw,excellent,gas,77000
191,4200,2010,pontiac,excellent,gas,170000
192,5450,2010,chevrolet,excellent,gas,147000
193,20995,2018,chevrolet,excellent,gas,17643
194,25990,2019,ram,good,gas,12302
195,36990,2018,jeep,good,gas,30731
196,6308,2005,lexus,excellent,gas,138300
197,5250,2000,lexus,excellent,gas,180000
198,3250,2003,ford,excellent,gas,155000
199,3500,2012,kia,excellent,gas,130000
200,14981,2004,nissan,excellent,gas,24367
201,27990,2020,ford,good,gas,10688
202,16495,2015,lincoln,excellent,gas,75289
203,13500,2004,ford,good,diesel,102000
204,10500,2008,bmw,excellent,gas,79000
205,10000,2015,ford,good,gas,114000
206,9900,2012,honda,excellent,gas,114000
207,5250,2010,volkswagen,excellent,gas,86000
208,2671,2004,pontiac,excellent,gas,239988
209,12519,2016,chevrolet,excellent,gas,130412
210,5500,2010,honda,good,gas,172045
211,9885,2014,chevrolet,excellent,gas,130913
212,14713,2016,toyota,like new,gas,98854
213,8239,2008,toyota,excellent,gas,216032
214,19481,2011,ford,excellent,gas,108428
215,19995,2019,buick,excellent,gas,27547
216,18500,2011,bmw,excellent,gas,69000
217,21874,2017,dodge,like new,gas,61446
218,18997,2018,ford,like new,gas,12766
219,11987,2013,ford,like new,gas,49250
220,18495,2017,volkswagen,excellent,gas,43406
221,46741,2012,ram,like new,gas,30716
222,2300,2002,honda,good,gas,170000
223,19946,2015,ram,excellent,gas,123339
224,37990,2016,toyota,good,gas,22870
225,36590,2019,tesla,good,electric,23057
226,32990,2016,jeep,good,gas,42344
227,39990,2019,nissan,good,gas,8373
228,17958,2015,dodge,excellent,gas,86410
229,4995,2001,bmw,excellent,gas,206665
230,2967,2004,pontiac,excellent,gas,192605
231,2000,2008,mazda,good,gas,139460
232,17907,2015,ram,excellent,diesel,112908
233,4000,2004,mercedes-benz,good,gas,121400
234,6300,2015,chrysler,good,gas,169000
235,77261,2020,gmc,excellent,diesel,1800
236,4500,2008,ram,good,gas,212800
237,25232,2016,ford,excellent,gas,118154
238,2500,1999,ford,fair,gas,115000
239,35990,2020,dodge,good,gas,1548
240,19861,2013,bmw,excellent,gas,52040
241,7266,2012,gmc,excellent,gas,153553
242,29990,2019,chevrolet,good,gas,6727
243,13307,2016,chevrolet,excellent,gas,110284
244,13500,2014,audi,excellent,gas,120008
245,7500,2012,volkswagen,excellent,gas,102000
246,18000,1996,ford,excellent,diesel,188000
247,27408,2016,ram,excellent,gas,67331
248,5000,2007,ford,excellent,gas,85000
249,26701,2013,ford,excellent,gas,54265
250,24698,2015,ram,excellent,diesel,84279
251,31399,2018,ram,excellent,gas,30500
252,26590,2020,honda,good,gas,9954
253,18750,2014,mercedes-benz,excellent,diesel,112000
254,22903,2013,ford,excellent,gas,89198
255,27990,2020,honda,good,gas,7209
256,19590,2018,honda,good,gas,35931
257,19990,2019,honda,good,gas,18806
258,29590,2017,ford,good,gas,70760
259,43995,2018,gmc,excellent,gas,34056
260,55500,2017,ford,like new,gas,4500
261,2300,2004,pontiac,good,gas,173000
262,3490,2010,hyundai,excellent,gas,220000
263,12995,2017,chevrolet,excellent,gas,107923
264,22381,2017,gmc,excellent,gas,123214
265,18587,2010,ram,excellent,gas,100156
266,17982,2019,chevrolet,like new,gas,43769
267,10781,2013,ford,like new,gas,92948
268,13329,2010,dodge,excellent,gas,93024
269,23995,2017,buick,excellent,gas,33580
270,16941,2020,hyundai,like new,gas,23505
271,27841,2017,lincoln,like new,gas,23798
272,21990,2011,ford,good,gas,32652
273,13995,2016,honda,like new,gas,98156
274,26990,2016,mazda,good,gas,7512
275,15495,2018,chevrolet,excellent,gas,27317
